Article Number,Product Name,Category,Price (MKD),Has Image
31595,TL/1 E27 NICKEL-M/TAUPE 'PASTERI',Внатрешно осветлување,2049.8,Yes
31596,TL/1 E27 nickel-m/grey-matt 'PASTERI',Внатрешно осветлување,2.28,Yes
31599,HL/1 Ø380 nickel-m/black 'MASERLO',Внатрешно осветлување,3.35,Yes
31602,HL/1 Ø380 nickel-m/taupe 'MASERLO',Внатрешно осветлување,3.64,Yes
31603,HL/1 Ø380 nickel-m/cappuccino 'MASERLO',Внатрешно осветлување,3.64,Yes
31605,HL/3 Ø530 nickel-m/black 'MASERLO',Внатрешно осветлување,7.22,Yes
31607,HL/3 Ø530 nickel-m/taupe 'MASERLO',Внатрешно осветлување,7.22,Yes
31608,HL/3 Ø530 nickel-m/cappuccino 'MASERLO',Внатрешно осветлување,7.22,Yes
31611,HL/2 L-780 nickel-m/black 'MASERLO',Внатрешно осветлување,7.22,Yes
31614,HL/2 L-780 NICKEL-M/CAPPUCCINO 'MASERLO',Внатрешно осветлување,6498.46,Yes
31616,HL/2 L-1000 nickel-m/black 'MASERLO',Внатрешно осветлување,8.34,Yes
31618,HL/2 L-1000 nickel-m/taupe 'MASERLO',Внатрешно осветлување,8.34,Yes
31627,TL/1 E27 NICKEL-M/SCHWARZ 'MASERLO',Внатрешно осветлување,2516.58,Yes
31629,TL/1 E27 nickel-m/taupe 'MASERLO',Внатрешно осветлување,2.8,Yes
31631,TL/1 E27 NICKEL-M/CAPPUCCINO 'MASERLO',Внатрешно осветлување,2516.58,Yes
31649,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,17.55,Yes
31666,HL-rise/fall E27 black/copper 'BRENDA',Внатрешно осветлување,4.88,Yes
31667,"LED-HL 2xring, chrome/crystal 'VARRAZO'",Внатрешно осветлување,33.81,Yes
31682,recessed spot GU10-LED 5W 3000K WS,Внатрешно осветлување,603,Yes
31683,set 3xrec.spot GU10-LED 5W 3000K WS,Внатрешно осветлување,1.76,Yes
31688,rec.spot GU10-LED 5W 3000K nickel-m.,Внатрешно осветлување,515,Yes
31689,set 3xrec.spot GU10-LED 5W 3000K nickel-,Внатрешно осветлување,1.52,Yes
31829,TL/1 E27 SCHWARZ 'POZELLO',Внатрешно осветлување,663,Yes
31841,TL/1 E14 NICKEL-M/WEISS 'MONTETTO',Внатрешно осветлување,1.09,Yes
31842,TL/1 E14 NICKEL-M/CAPPUCCINO 'MONTETTO',Внатрешно осветлување,990,Yes
31851,WL/DL/1 GU10 SCHWARZ/CHROM 'ADFIRA-Z',Внатрешно осветлување,1.94,Yes
31852,BALKEN/2 GU10 SCHWARZ/CHROM 'ADFIRA-Z',Сијалици,3.91,Yes
31853,BALKEN/3 GU10 SCHWARZ/CHROM 'ADFIRA-Z',Сијалици,5.56,Yes
31854,WL/DL/1 GU10 WEISS/CHROM 'ADFIRA-Z',Внатрешно осветлување,1.7,Yes
31855,BALKEN/2 GU10 WEISS/CHROM 'ADFIRA-Z',Сијалици,3.39,Yes
31856,BALKEN/3 GU10 WEISS/CHROM 'ADFIRA-Z',Сијалици,5.11,Yes
31857,LED-EINBAUSPOT Ø75 WEISS 4000K 'RAPITA',Внатрешно осветлување,1.07,Yes
31858,LED-EINBAUSPOT Ø100 WEISS 4000K 'RAPITA',Внатрешно осветлување,1.27,Yes
31859,LED-EINBAUSPOT 75X75 WEISS 4000K 'RAPITA,Внатрешно осветлување,1.07,Yes
31865,SET 3XLED-EINBAUSP.Ø88 NICKEL-M.4000K,Внатрешно осветлување,4.46,Yes
31866,SET 3XLED-EINBAUSP.Ø88 WEISS 4000K,Внатрешно осветлување,3.89,Yes
31867,SET 3XLED-EINBAUSP.Ø88 SCHWARZ 4000K,Внатрешно осветлување,3.89,Yes
31882,SET 4XLED-EINBAUSPOT Ø85 NICKEL-M'MAZUBY,Внатрешно осветлување,2.77,Yes
31883,SET 4XLED-EINBAUSPOT Ø85 WEISS 'MAZUBY,Внатрешно осветлување,2.68,Yes
31884,SET 4XLED-EINBAUSPOT Ø85 SCHWARZ 'MAZUBY,Внатрешно осветлување,2.68,Yes
31885,SET 4XEINBAUSPOT Ø88 NICKEL-M.STARR,Внатрешно осветлување,1.84,Yes
31886,SET 4XEINBAUSPOT Ø88 WEISS STARR,Внатрешно осветлување,1.53,Yes
31887,SET 4XEINBAUSPOT Ø88 SCHWARZ STARR,Внатрешно осветлување,1.53,Yes
31899,"LED-MODUL 4,5W 2700K",,645,Yes
31911,SET 3XCCT/RGB-EINBAUSPOT Ø86 WS 'FUEVA-Z,Внатрешно осветлување,3.44,Yes
31912,SET 3XCCT/RGB-EINBAUSPOT Ø86 SW 'FUEVA-Z,Внатрешно осветлување,3.44,Yes
31921,SET 3XEINBAUSPOT GU10 NICKEL-M.SCHWENKBA,Внатрешно осветлување,1.91,Yes
31922,SET 3XEINBAUSPOT GU10 CHROM SCHWENKBAR,Внатрешно осветлување,1.91,Yes
31923,SET 3XEINBAUSPOT GU10 WEISS SCHWENKBAR,Внатрешно осветлување,1.62,Yes
31924,SET 3XEINBAUSPOT GU10 SCHWARZ SCHWENKBAR,Внатрешно осветлување,1.74,Yes
31925,LED-CCT/RGB-DL Ø293 SW/WS 'CAMPASPERO 2',Внатрешно осветлување,4.76,Yes
31926,LED-CCT/RGB-DL Ø420 WEISS 'CAMPASPERO 2',Внатрешно осветлување,6.4,Yes
31927,SET 3XLED-EINBAUSP.Ø77 NICKEL-M.SCHWENKB,Внатрешно осветлување,3.63,Yes
31928,SET 3XLED-EINBAUSP.Ø77 WEISS SCHWENKB.,Внатрешно осветлување,3.37,Yes
31929,SET 3XLED-EINBAUSP.Ø77 SCHWARZ SCHWENKB.,Внатрешно осветлување,3.37,Yes
31931,SET 3XLED-EINBAUSP.Ø77 WEISS SCHWENKB.,Внатрешно осветлување,3.06,Yes
31932,SET 3XLED-CCT-EINBAUSP.Ø86 NICKEL-M.,Внатрешно осветлување,3.33,Yes
31933,SET 3XLED-CCT-EINBAUSP.Ø86 WS,Внатрешно осветлување,3,Yes
31934,SET 3XLED-CCT-EINBAUSP.Ø86 SW,Внатрешно осветлување,3,Yes
31935,SET 3XLED-RGB/CCT-EINBAUSP.Ø86 NICKEL-M.,Внатрешно осветлување,3.56,Yes
31936,SET 3XLED-RGB/CCT-EINBAUSP.Ø86 WS,Внатрешно осветлување,3.3,Yes
31937,SET 3XLED-RGB/CCT-EINBAUSP.Ø86 SW,Внатрешно осветлување,3.3,Yes
31945,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,63813.57,Yes
31946,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,84906.16,Yes
31947,LED-CCT-HL SCHWARZ 'SISANTE',Внатрешно осветлување,58743.88,Yes
31961,DL/1 E27 SCHWARZ/SEILSCHIRM 'SIRUELA',Внатрешно осветлување,2.42,Yes
31964,WL/1 E27 SCHWARZ/SEILSCHIRM 'SIRUELA',Внатрешно осветлување,2.42,Yes
31965,TL/1 E27 SCHWARZ/SEILSCHIRM 'SIRUELA',Внатрешно осветлување,3.08,Yes
31966,STL/1 E27 SCHWARZ/SEILSCHIRM 'SIRUELA',Сијалици,5.04,Yes
31972,LED-HL Ø400 SILBER 'OVAR',Внатрешно осветлување,12848.76,Yes
31973,LED-HL Ø500 SILBER 'OVAR',Внатрешно осветлување,17131.01,Yes
31977,LED-HL Ø400 SCHWARZ 'OVAR',Внатрешно осветлување,11129.78,Yes
31978,LED-HL Ø500 SCHWARZ 'OVAR',Внатрешно осветлување,15840.25,Yes
31991,HL/1 L-560 SCHWARZ/SEILSCHIRM 'SIRUELA',Внатрешно осветлување,3.08,Yes
31992,HL/1 L-800 SCHWARZ/SEILSCHIRM 'SIRUELA',Внатрешно осветлување,5.72,Yes
31995,LED-WL/CL chrome/white 'RONCADE',Внатрешно осветлување,3.88,Yes
31996,LED-WL/CL chrome/white 'RONCADE',Внатрешно осветлување,5.54,Yes
31997,LED-TL CHROM/WEISS 'RONCADE',Внатрешно осветлување,2549.05,Yes
32048,LED-HL chrome/white 'LASANA',Внатрешно осветлување,3.42,Yes
32051,LED-DL Ø300 WEISS/SAT.'PALAGIANO 1',Внатрешно осветлување,5.04,Yes
32052,LED-DL Ø380 WEISS/SAT.'PALAGIANO 1',Внатрешно осветлување,5.54,Yes
32053,LED-DL Ø480 WEISS/SAT.'PALAGIANO 1',Внатрешно осветлување,7.26,Yes
32055,WL/1 chrome/sat-clear 'ORVIETO 2',Внатрешно осветлување,1.31,Yes
32056,LS/2 chrome/sat-clear 'ORVIETO 2',,2.47,Yes
32057,LS/3 chrome/sat-clear 'ORVIETO 2',,3.7,Yes
32058,LS/4 chrome/sat-clear 'ORVIETO 2',,4.73,Yes
32059,LS/6 chrome/sat-clear 'ORVIETO 2',,7.71,Yes
32095,WL/TL/1 GU10-LED black 'PETTO 1',Внатрешно осветлување,1.42,Yes
32153,AL-STRAHLER SCHWARZ 'PIERA',Внатрешно осветлување,3078.75,Yes
32219,TL/1 E14 SW/LEINEN NATUR 'MONTETTO 1',Внатрешно осветлување,1.17,Yes
32235,CL/1 E27 370X370 grey 'REVILLA 1',Внатрешно осветлување,1.63,Yes
32357,LED-LICHTERKETTE/40 L-2000 TRANSP/SILBER,,490,Yes
32358,LED-LICHTERKETTE/40 L-2000 MULTI/SILBER,,548,Yes
32389,STL/1 E27 SCHWARZ/CAPPUCCINO 'HERIDOS',Сијалици,5221.9,Yes
32428,WL/1 black 'BUZZ-LED',Внатрешно осветлување,718,Yes
32429,LS/2 black 'BUZZ-LED',,1.47,Yes
32431,LS/3 black 'BUZZ-LED',,2.22,Yes
32432,LS/4 black 'BUZZ-LED',,3.08,Yes
32433,LS/6 SCHWARZ 'BUZZ-LED',,4320.81,Yes
32468,STL/1 SCHWARZ M.GITTERSCHIRM 'WRINGTON',,8509.69,Yes
32506,CL/1 E27 nickel-matt 'TUNJA',Внатрешно осветлување,371,Yes
32511,TL/1 E27 H-265 nickel-matt 'TUNJA',Внатрешно осветлување,755,Yes
